input_sequence_id	input_file_name	gene_symbol	gene_name	reference_database_id	reference_database_version	reference_accession	analysis_software_name	analysis_software_version	sequence_identity	input_protein_start	input_protein_stop	input_gene_start	input_gene_stop	reference_protein_start	reference_protein_stop	reference_gene_start	reference_gene_stop	strand_orientation	coverage_depth	coverage_percentage	coverage_ratio	reference_gene_length	reference_protein_length	input_gene_length	input_protein_length	drug_class	antimicrobial_agent	resistance_mechanism
GMGC10.025_807_996.UNKNOWN	GMGC10.95nr_block_0001	(Flq)crpP	(Flq)crpP	argannot	2021-Mar-27	NG_062203:101-298	abricate	abricate 1.0.1	94.44			13	210					+		100.0								
GMGC10.011_421_809.UNKNOWN	GMGC10.95nr_block_0002	(Flq)crpP	(Flq)crpP	argannot	2021-Mar-27	NG_062203:101-298	abricate	abricate 1.0.1	98.99			49	246					+		100.0								
GMGC10.013_153_847.UNKNOWN	GMGC10.95nr_block_0002	(Gly)VanU	(Gly)VanU	argannot	2021-Mar-27	NG_048466:101-328	abricate	abricate 1.0.1	100.0			1	228					+		100.0								
GMGC10.016_690_720.UNKNOWN	GMGC10.95nr_block_0002	(Tmt)dfrB3	(Tmt)dfrB3	argannot	2021-Mar-27	GQ150744:5957-6193	abricate	abricate 1.0.1	100.0			1	237					+		100.0								
GMGC10.026_804_036.UNKNOWN	GMGC10.95nr_block_0002	(Tmt)dfrB5	(Tmt)dfrB5	argannot	2021-Mar-27	AY943084:2856-3092	abricate	abricate 1.0.1	100.0			1	237					+		100.0								
GMGC10.044_316_970.UNKNOWN	GMGC10.95nr_block_0002	(Tmt)dfrB3	(Tmt)dfrB3	argannot	2021-Mar-27	GQ150744:5957-6193	abricate	abricate 1.0.1	85.78			15	232					+		91.98								
GMGC10.046_578_884.UNKNOWN	GMGC10.95nr_block_0002	(Tmt)dfrB4	(Tmt)dfrB4	argannot	2021-Mar-27	FM877484:69-305	abricate	abricate 1.0.1	100.0			1	237					+		100.0								
GMGC10.016_996_516.COPY	GMGC10.95nr_block_0006	(Bla)MecI	(Bla)MecI	argannot	2021-Mar-27	NG_050586:101-475	abricate	abricate 1.0.1	100.0			1	375					+		100.0								
GMGC10.027_903_651.COPY	GMGC10.95nr_block_0006	(Bla)MecI	(Bla)MecI	argannot	2021-Mar-27	NG_050586:101-475	abricate	abricate 1.0.1	95.65			1	368					+		98.13								
GMGC10.038_883_974.AACA7	GMGC10.95nr_block_0006	(AGly)aacA29b	(AGly)aacA29b	argannot	2021-Mar-27	AY139599:768-1148	abricate	abricate 1.0.1	98.95			1	381					+		100.0								
GMGC10.002_430_984.FOSB	GMGC10.95nr_block_0007	(Fcyn)fosBx1	(Fcyn)fosBx1	argannot	2021-Mar-27	NG_050591:101-517	abricate	abricate 1.0.1	99.28			1	417					+		100.0								
GMGC10.004_451_260.BLAI	GMGC10.95nr_block_0007	(Bla)blaI	(Bla)blaI	argannot	2021-Mar-27	NG_047499:101-481	abricate	abricate 1.0.1	87.41			1	405					+		100.0								
GMGC10.005_185_692.FOSX	GMGC10.95nr_block_0007	(Fcyn)fosE	(Fcyn)fosE	argannot	2021-Mar-27	NG_051850:101-457	abricate	abricate 1.0.1	100.0			49	405					+		100.0								
GMGC10.007_884_757.FOSB	GMGC10.95nr_block_0007	(Fcyn)fosBx1	(Fcyn)fosBx1	argannot	2021-Mar-27	NG_050591:101-517	abricate	abricate 1.0.1	81.62			13	420					+		97.84								
GMGC10.008_803_393.FOSB	GMGC10.95nr_block_0007	(Fcyn)FosA7	(Fcyn)FosA7	argannot	2021-Mar-27	LAPJ01000014:36823-37245	abricate	abricate 1.0.1	93.85			1	423					+		100.0								
GMGC10.008_882_788.FOSB	GMGC10.95nr_block_0007	(Fcyn)FosA7	(Fcyn)FosA7	argannot	2021-Mar-27	LAPJ01000014:36823-37245	abricate	abricate 1.0.1	99.76			1	423					+		100.0								
GMGC10.009_552_105.FOSB	GMGC10.95nr_block_0007	(Fcyn)FosA2	(Fcyn)FosA2	argannot	2021-Mar-27	EU487198:217-642	abricate	abricate 1.0.1	86.03			2	408					+		95.31								
GMGC10.015_107_117.FOSB	GMGC10.95nr_block_0007	(Fcyn)fosBx1	(Fcyn)fosBx1	argannot	2021-Mar-27	NG_050591:101-517	abricate	abricate 1.0.1	80.77			1	416					+		99.76								
GMGC10.015_937_485.FOSB	GMGC10.95nr_block_0007	(Fcyn)FosA7	(Fcyn)FosA7	argannot	2021-Mar-27	LAPJ01000014:36823-37245	abricate	abricate 1.0.1	90.78			1	423					+		100.0								
GMGC10.016_397_246.FOSB	GMGC10.95nr_block_0007	(Fcyn)fosBx1	(Fcyn)fosBx1	argannot	2021-Mar-27	NG_050591:101-517	abricate	abricate 1.0.1	88.22			1	416					+		99.76								
GMGC10.017_524_248.FOSB	GMGC10.95nr_block_0007	(Fcyn)fosBx1	(Fcyn)fosBx1	argannot	2021-Mar-27	NG_050591:101-517	abricate	abricate 1.0.1	84.94			2	406					+		97.12								
GMGC10.017_551_368.FOSB	GMGC10.95nr_block_0007	(Fcyn)fosBx1	(Fcyn)fosBx1	argannot	2021-Mar-27	NG_050591:101-517	abricate	abricate 1.0.1	87.74			1	416					+		99.76								
GMGC10.017_562_382.FOSB	GMGC10.95nr_block_0007	(Fcyn)fosBx1	(Fcyn)fosBx1	argannot	2021-Mar-27	NG_050591:101-517	abricate	abricate 1.0.1	88.43			2	416					+		99.52								
GMGC10.017_978_399.FOSB	GMGC10.95nr_block_0007	(Fcyn)FosA2	(Fcyn)FosA2	argannot	2021-Mar-27	EU487198:217-642	abricate	abricate 1.0.1	87.56			1	402					+		94.37								
GMGC10.018_851_790.FOSB	GMGC10.95nr_block_0007	(Fcyn)fosBx1	(Fcyn)fosBx1	argannot	2021-Mar-27	NG_050591:101-517	abricate	abricate 1.0.1	87.5			2	417					+		99.76								
GMGC10.019_522_332.FOSA	GMGC10.95nr_block_0007	(Fcyn)FosB2	(Fcyn)FosB2	argannot	2021-Mar-27	NC_012581.1:459871-460290	abricate	abricate 1.0.1	94.29			1	420					+		100.0								
GMGC10.019_525_067.FOSB	GMGC10.95nr_block_0007	(Fcyn)FosB2	(Fcyn)FosB2	argannot	2021-Mar-27	NC_012581.1:459871-460290	abricate	abricate 1.0.1	84.08			13	414					+		95.71								
GMGC10.019_533_820.FOSB	GMGC10.95nr_block_0007	(Fcyn)fosBx1	(Fcyn)fosBx1	argannot	2021-Mar-27	NG_050591:101-517	abricate	abricate 1.0.1	86.78			1	416					+		99.76								
GMGC10.019_535_820.FOSB	GMGC10.95nr_block_0007	(Fcyn)fosBx1	(Fcyn)fosBx1	argannot	2021-Mar-27	NG_050591:101-517	abricate	abricate 1.0.1	87.98			1	416					+		99.76								
GMGC10.019_541_157.FOSB	GMGC10.95nr_block_0007	(Fcyn)fosBx1	(Fcyn)fosBx1	argannot	2021-Mar-27	NG_050591:101-517	abricate	abricate 1.0.1	89.4			2	416					+		99.52								
GMGC10.019_554_574.FOSB	GMGC10.95nr_block_0007	(Fcyn)fosBx1	(Fcyn)fosBx1	argannot	2021-Mar-27	NG_050591:101-517	abricate	abricate 1.0.1	88.43			2	416					+		99.52								
GMGC10.022_744_970.FOSB	GMGC10.95nr_block_0007	(Fcyn)FosA7	(Fcyn)FosA7	argannot	2021-Mar-27	LAPJ01000014:36823-37245	abricate	abricate 1.0.1	90.78			1	423					+		100.0								
GMGC10.023_252_132.FOSB	GMGC10.95nr_block_0007	(Fcyn)fosBx1	(Fcyn)fosBx1	argannot	2021-Mar-27	NG_050591:101-517	abricate	abricate 1.0.1	87.5			1	416					+		99.76								
GMGC10.023_836_016.FOSB	GMGC10.95nr_block_0007	(Fcyn)FosA4	(Fcyn)FosA4	argannot	2021-Mar-27	AB908992:1-417	abricate	abricate 1.0.1	94.96			1	417					+		100.0								
GMGC10.025_001_212.FOSB	GMGC10.95nr_block_0007	(Fcyn)fosBx1	(Fcyn)fosBx1	argannot	2021-Mar-27	NG_050591:101-517	abricate	abricate 1.0.1	86.33			1	417					+		100.0								
GMGC10.025_437_586.FOSB	GMGC10.95nr_block_0007	(Fcyn)fosBx1	(Fcyn)fosBx1	argannot	2021-Mar-27	NG_050591:101-517	abricate	abricate 1.0.1	97.84			1	417					+		100.0								
GMGC10.025_438_403.FOSB	GMGC10.95nr_block_0007	(Fcyn)fosBx1	(Fcyn)fosBx1	argannot	2021-Mar-27	NG_050591:101-517	abricate	abricate 1.0.1	87.98			1	416					+		99.76								
GMGC10.025_442_080.FOSB	GMGC10.95nr_block_0007	(Fcyn)fosBx1	(Fcyn)fosBx1	argannot	2021-Mar-27	NG_050591:101-517	abricate	abricate 1.0.1	89.42			1	416					+		99.76								
GMGC10.026_525_198.FOSB	GMGC10.95nr_block_0007	(Fcyn)fosBx1	(Fcyn)fosBx1	argannot	2021-Mar-27	NG_050591:101-517	abricate	abricate 1.0.1	80.75			19	418					+		95.92								
GMGC10.026_545_800.FOSB	GMGC10.95nr_block_0007	(Fcyn)fosBx1	(Fcyn)fosBx1	argannot	2021-Mar-27	NG_050591:101-517	abricate	abricate 1.0.1	90.39			1	416					+		99.76								
GMGC10.027_169_110.FOSB	GMGC10.95nr_block_0007	(Fcyn)FosD	(Fcyn)FosD	argannot	2021-Mar-27	AB304512:17043-17462	abricate	abricate 1.0.1	89.52			1	420					+		100.0								
GMGC10.027_458_315.FOSB	GMGC10.95nr_block_0007	(Fcyn)FosA7	(Fcyn)FosA7	argannot	2021-Mar-27	LAPJ01000014:36823-37245	abricate	abricate 1.0.1	95.03			1	423					+		100.0								
GMGC10.027_520_977.COPY	GMGC10.95nr_block_0007	(Bla)mecI	(Bla)mecI	argannot	2021-Mar-27	NG_047956:101-472	abricate	abricate 1.0.1	99.46			1	372					+		100.0								
