# argNorm version: 0.6.0
0	1	2	3	ARO	confers_resistance_to	resistance_to_drug_classes
Mef(En2).3004659.AF251288.1.794-2000.5539	135	1206	11D599M16D568M12D	ARO:3004659	ARO:0000046	ARO:0000017
rrsB.3003410.U00096.4166659-4168200.3242	95	1542	6D1521M15D			
rrsB.3003396.U00096.4166659-4168200.3233	95	1542	6D1521M15D			
Escherichia_coli_16S.3003223.U00096.4166659-4168200.3234	95	1542	6D1521M15D			
ErmB.3000375.AF242872.1.2131-2878.5430	194	747	11D423M6D304M3D	ARO:3000375	ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867	ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026
rrnB.3003411.U00096.4166659-4168200.3236	95	1542	6D1521M15D			
rrsB.3003402.U00096.4166659-4168200.3235	95	1542	6D1521M15D			
rrnB.3003406.U00096.4166659-4168200.3237	95	1542	6D1521M15D			
tet(40).3000567.AM419751.14210-15431.5150	315	1221	156M7D1057M1D	ARO:3000567	ARO:0000051	ARO:3000050
aadS.3004683.M72415.1.1120-1984.5568	199	864	364M2D496M2D	ARO:3004683	ARO:0000040	ARO:0000016
CfxA4.3003005.AY769933.0-966.1592	450	966	960M6D	ARO:3003005	ARO:3009106	ARO:3000007
rrnB.3003377.U00096.4166659-4168200.3239	95	1542	6D1521M15D			
OXA-347.3001777.JN086160.1582-2407.4583	191	825	11D812M1D1M	ARO:3001777	ARO:0000056	ARO:3000007
rrsB.3003376.U00096.4166659-4168200.3240	95	1542	6D1521M15D			
rrsB.3003408.U00096.4166659-4168200.3241	95	1542	6D1521M15D			
tetQ.3000191.Z21523.0-1974.476	539	1974	1D1970M3D			
rrsB.3003399.U00096.4166659-4168200.3232	95	1542	6D1521M15D			
tetW.3000194.AJ222769.3.3686-5606.5145	203	1920	2D1900M18D			
CfxA5.3003096.AY769934.27-993.1669	449	966	775M1D184M6D	ARO:3003096	ARO:3009106	ARO:3000007
CfxA3.3003003.AF472622.52-1018.1514	519	966	960M6D	ARO:3003003	ARO:3009106	ARO:3000007
rrsB.3003405.U00096.4166659-4168200.3231	95	1542	6D1521M15D			
rrsH.3003372.U00096.223771-225312.3228	95	1542	6D1103M28D390M15D			
rrsB.3003397.U00096.4166659-4168200.3230	95	1542	6D1521M15D			
ErmF.3000498.M17124.1181-1982.593	321	801	598M10D189M4D	ARO:3000498	ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867	ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026
rrsB.3003403.U00096.4166659-4168200.3238	95	1542	6D1521M15D			
CfxA2.3003002.AF118110.1.71-1037.4470	450	966	960M6D	ARO:3003002	ARO:3009106	ARO:3000007
